title,company_name,technologies
Python developer,NetGame NV,"REST, Python"
Senior Python Developer,Ixilix,"Python, Tornado, Git, Docker, RabbitMQ, GitLab"
Middle Python Developer,Vegangster,"Python, MongoDB, Redis, PostgreSQL"
Middle+ / Senior Python Back-End Engineer,Quontex,"Python, Redis, AWS, Django"
Senior Python Developer,Revenue Grid,"Python, Tornado, Kubernetes, Flask, Django, Azure, SQL"
"Senior Python Engineer, Business Aviation SaaS",Portside,"Python, Redis, AWS, REST, Kubernetes, pytest, Django, SQL, Docker, GraphQL, Celery"
Python/AI Developer with Raspberry Pi and FPV Drone skills,Matoffo,"Python, TensorFlow, Git, PyTorch"
Senior Backend Engineer,SalesNash,"Python, AWS, Docker, PostgreSQL, Elasticsearch, FastAPI"
Back End Developer,SQRD.tech,"Python, JavaScript"
Junior+ / Middle Fullstack (React.js+Python) Developer,ElifTech,
Mid-Sr Python Developer,"Akvelon, Inc","Chef, Python, Ansible, Jenkins"
ReactJS/ Python Developer,Honeycomb Software,"Python, AWS, React, JavaScript, Git, Flask, Django, Azure, Docker"
Python (Django) Developer,Uitop,"Python, AWS, REST, Django, SQL"
Python+Django Developer,Luxe Quality,"Python, AWS, Git, Django, FastAPI, Celery"
Python developer / middle,dZENcode,"Python, AWS, Django"
Developer with Bright Data Experience,Olive,"Python, AWS, JavaScript, Git, Docker"
API scraper,The Call Center,Python
Senior Backend Developer (Java and FastAPI),Byanat,"MongoDB, SQL, Cassandra, Docker, PostgreSQL, FastAPI"
Backend Developer (Web \ Mobile apps),nocode rebels (ncr),"REST, JavaScript, SQL, GraphQL"
Junior Python Developer,Global Mind Associated,"Python, Git"
Senior Python AI Developer,Newsoft,"Python, GraphQL, AWS, NumPy"
Trainee/Junior Python Developer,Newsoft,"Python, AWS, React, JavaScript, Django, PostgreSQL, FastAPI"
Full Stack Engineer (Python) with knowledge of React/Angular IRC231555,GlobalLogic,"Python, React, Angular, Docker, FastAPI"
