title,company_name,technologies
Python Engineer,itsoft,"Python, AWS, Kubernetes, Git, Flask, MongoDB, SQL, FastAPI"
Strong Middle/Senior Backend Engineer (Python),KitRUM,"Python, Jenkins, Kubernetes, Flask, MongoDB, GraphQL, RabbitMQ"
Python developer,Onicore,"Python, AWS, Git, PostgreSQL, FastAPI"
"Full-Stack Developer (Python, Vue)",SEDNA,"Python, Angular, REST, JavaScript, Git, Django, SQL, Docker, PostgreSQL, HTML, CSS, Celery"
Senior Python Engineer,Yoverse,"Python, Redis, AWS, Git, Django, SQL, Docker, PostgreSQL"
Python ML/Data Engineer,Gemicle,"Python, SQL, pandas, TensorFlow"
Backend Python Developer,Ogcglobal,"Python, AWS, FastAPI"
Python/Django backend developer,Smart UI,"Python, Redis, REST, Git, Django, PostgreSQL, Celery"
Senior Backend Python Developer,ITExpert,"Python, RabbitMQ, Redis, AWS, Kubernetes, MongoDB, Docker, PostgreSQL, FastAPI, Celery"
Senior Python (Django) Engineer,Enkonix,"Python, AWS, Django, Azure, SQL, Celery"
Trainee Python Developer,Incora,"REST, Python, Django"
Senior Python Developer IRC225993,GlobalLogic,"Python, AWS, Docker, CSS, HTML, GitLab, SQLite"
Senior Python Developer,Leadingads-media,"Python, Django, Git"
Middle+/Senior Python Full Stack Developer (Ads Sales Platform),303 Team,"Python, AWS, Git, PostgreSQL, Docker, Ansible"
"Senior Software engineer (Node.js, Python, LLM)",DigitalSuits,"Docker, Python, SQL, AWS"
Middle Python Developer,RecruitGarden,"Python, Redis, SQL, Docker, FastAPI"
Python-розробник,Diia Company,"Python, REST, JavaScript, Git, MongoDB, PostgreSQL"
Senior Python Backend Engineer,Develux,"Python, Redis, REST, Kubernetes, Git, Django, MongoDB, GraphQL, PostgreSQL, Elasticsearch, RabbitMQ"
"Python developer (Middle, Senior lvls) for Computer Vision, ML, LLM engineering",DeepX,"Docker, Python, pandas"
Middle Python Back-end Developer,Inquatro,"DynamoDB, Python, Scrapy, AWS, pytest, Flask, MySQL, Docker, PostgreSQL, FastAPI, unittest, Celery"
Python Software Engineer,Dataforest,"Python, Redis, AWS, Git, SQL, Cassandra, Elasticsearch, FastAPI"
Junior Python/Django developer,RenovateHub,"Python, Git, Django, SQL, PostgreSQL, GitHub"
"Software Engineer (C, Python)",PLVision,"Docker, Python"
Python AI engineer,ELLO Messenger,"Python, TensorFlow, PyTorch"
Python Backend Developer,Canyon Development,"Python, SQL"
Senior Python Developer,Plexteq,"Python, AWS"
Python UAV Developer,Quantum,Python
Senior Python Developer (who now lives in Warsaw or Wroclaw),YozmaTech,"Python, Django, SQL, RabbitMQ, Celery"
Middle Python Engineer,SQRD.tech,"Flask, Python, Celery"
Senior Backend Engineer (Python),BCD Travel,"Python, Redis, Terraform, Django, Docker, Ansible, RabbitMQ, Celery"
Full-stack Python/Django+ReactJS Web Developer (Middle+),SoftFormance,"Python, Django, MySQL, Docker, PostgreSQL, GitLab"
Python Engineer,PIN-UP Global,"Python, Django, MySQL"
Django Backend Developer. Early stage AI Startup,Zapply AI,Django
Senior Python Developer,Gambling Media Group,"Python, Redis, Terraform, Flask, Django, SQL, RabbitMQ"
Junior Python Developer,Inforce,"Flask, Python, JavaScript, Django"
AI Developer,Beetroot,"Python, AWS, Azure, SQL, TensorFlow, PyTorch"
Senior FullStack (Django/React) Engineer,Fluvius,"Python, Redis, AWS, Django, MongoDB"
Senior Python Backend Engineer,Develux,"Python, Redis, REST, Kubernetes, Git, Django, MongoDB, GraphQL, PostgreSQL, Elasticsearch, RabbitMQ"
Python / TypeScript Developer for Innovative Ad Crawler,Peak Ventures,"Python, MongoDB, JavaScript"
Reef Technologies Senior Python Backend Engineer,Reef Technlogies,Python
Senior Backend Engineer (Python),Deepchecks,"AWS, Terraform, Kubernetes, Docker, FastAPI"
Looking for a Python developer,New Wave Devs,Python
Senior Software Engineer (Python/Go),djeda,AWS
Backend Developer (Python),Volindo,"Python, AWS"
"AI Engineer (Generative NLP, AI Agents, Prompting)",WebLab Technology,"Python, AWS, JavaScript, Flask, TensorFlow, GraphQL, FastAPI, PyTorch"
Senior Backend Developer,Toppan Merrill GmbH,"Python, Redis, Flask, Django, MongoDB, SQL, Docker, FastAPI"
Senior Python Engineer,PLANEKS,"Python, Flask, Django, SQL, RabbitMQ, FastAPI"
Senior Python Engineer,PLANEKS,"Python, Flask, Django, SQL, RabbitMQ, FastAPI"
Junior Python Developer,Pcodes Inc.,"Python, AWS, REST, Terraform, JavaScript, Git, Flask, SQL, Docker, CSS, HTML"
Lead Python Developer (IRC228175),GlobalLogic,"Python, AWS, Kubernetes, Azure, Docker"
Backend Developer (Python),Graintrack,"Python, SQL, PostgreSQL, Docker, Ansible, GitHub"
Middle Python (Django),PRO Gaming Software,"Python, WebSockets, Git, Django, SQL, TensorFlow, PostgreSQL, PyTorch"
Python Developer,Motorsport Network,"Python, FastAPI, Git"
Sr AI Backend Developer,JustSoftLab,"Python, MongoDB"
Senior Python Engineer,PLANEKS,"Python, Flask, Django, SQL, RabbitMQ, FastAPI"
Python Developer,Software Development Hub,"Python, HTML, PostgreSQL, CSS"
Senior Python Engineer,PLANEKS,"Python, Flask, Django, SQL, RabbitMQ, FastAPI"
Senior Python Engineer,Live Play Mobile,"Python, DynamoDB"
Senior Python Developer,AutoDS,"Python, Kubernetes, Flask, MongoDB, MySQL, FastAPI, Celery"
Senior Data Scientist,Luxoft,Python
"Python/Django Web Developer, Middle+\Senior",SoftFormance,"Python, Django, MySQL, Docker, PostgreSQL, GitLab, Celery"
Senior Python Developer,Numerical Technologies,"Python, AWS, Git, Azure, FastAPI"
Python Developer (Scraping),Dataforest,"Flask, Python, SQL, AWS"
Python ML/Data Engineer,Gemicle,"Python, SQL, pandas, TensorFlow"
Python ML/Data Engineer,Gemicle,"Python, SQL, pandas, TensorFlow"
Python Розробник (на проект),MEGASITE,Python
"Python Developers (Permanent/ requires relocation to Abu Dhabi, UAE)",Aspire Technology,Python
Senior ML Engineer,WinSoft,Python
Python developer,Needplex,Azure
Junior Python Developer,Requestum,"Docker, Python"
Junior Software Engineer,Requestum,"Docker, Python"
Python Developer,Scalr,"Python, Chef, Terraform, Kubernetes, Flask, MySQL, Docker, Ansible, RabbitMQ"
Python Developer (Scraping),Dataforest,"Flask, Python, SQL, AWS"
Middle Python Developer,Patternica,"Python, MongoDB, SQL, AWS"
Python Developer,Cyngular Security,"Python, Azure, AWS"
junior Python,Weem,"Python, MongoDB, PostgreSQL, MySQL"
Algorithms Developer for Fintech SAAS,MoveUp Recruitment agency,"Python, AWS, REST, Kubernetes, SQL, Docker"
Senior Python Developer for an AI system,Synergetica,"Python, PostgreSQL"
Software Engineer,Ingainer,"Python, AWS, Tornado, Git, Flask, Azure, SQL, TensorFlow, MySQL, PostgreSQL, FastAPI, GitLab"
Python developer (Middle/Senior),Project Ukraine,"REST, Python, PostgreSQL, Django"
Golang Developer,XPAY GROUP LLC,"JIRA, Python, Redis"
Senior Full-Stack Developer (Python + React),Synergetica,"REST, Python"
Python Developer (AI/ML Specialist),Ai Merchandising Company,"Python, TensorFlow, PyTorch"
Senior Python Developer,Scalr,"Python, Chef, Terraform, Kubernetes, Flask, MySQL, Docker, Ansible, RabbitMQ"
Python Developer,DataRoot Labs,"REST, Python, SQL"
Middle Python Back-End Developer,Kapowai,"Python, REST, SQL, Docker, Ansible"
Python Backend Engineer,SQUAD,"Python, AWS, Kubernetes, SQL, Docker"
Middle Software Engineer (Python or TypeScript) with LLM Experience,COXIT,"Python, MongoDB, FastAPI, GitHub"
Junior Software Engineer (Python or TypeScript) with LLM Experience,COXIT,"Python, MongoDB, FastAPI, GitHub"
Senior Backend Engineer,Logz.io,"Docker, Python, Ansible, Kubernetes"
middle developer python,Property House,"REST, Python, Flask, Docker"
Middle Python Developer,concryt.io,"Python, Redis, Django, Docker, PostgreSQL, FastAPI"
Senior Full-Stack Django Developer,Hygge Software,"Python, REST, pytest, Django, SQL, PostgreSQL"
Python Tech Lead,PLANEKS,"Python, Flask, Django, SQL, RabbitMQ, FastAPI"
Python Tech Lead,PLANEKS,"Python, Flask, Django, SQL, RabbitMQ, FastAPI"
Python Team Lead,PLANEKS,"Python, Flask, Django, SQL, RabbitMQ, FastAPI"
Middle Python Developer,COMPARUS UA,"Python, Redis, Kubernetes, Docker, OpenShift"
"Senior Python Engineer, Business Aviation SaaS",Portside,"Python, Redis, AWS, REST, Kubernetes, pytest, Django, SQL, Docker, GraphQL, Celery"
Backend Developer Python,Lamarkmedia,"Python, Git"
Software Engineer,apolo.us,"Python, Redis, AWS, Kubernetes, SQL, GitHub, DynamoDB"
Lead Python Engineer,PLANEKS,"Python, Flask, Django, SQL, RabbitMQ, FastAPI"
Software Development Engineer (Marketing Platform),SPD Technology,"DynamoDB, Python, AWS, pytest"
Python developer,Binary Future,"Python, Django, React, Celery"
Str.Middle/Senior Python Developer 2037/03,Argument,"Python, SQL, PostgreSQL, Pyramid"
Python (Django) Engineer,Enkonix,"Python, AWS, Django, Azure, SQL, Celery"
Middle Python Developer,Lantec,"Python, NumPy, REST, Git, Flask, Django, FastAPI, PyTorch"
Senior Back-end Developer (Python),Violex,"RabbitMQ, AWS, Kubernetes, Docker, PostgreSQL, FastAPI, Celery"
Junior+ python developer,Evergreen AI business digitalization,"Python, Flask, TensorFlow, PostgreSQL, PyTorch"
Agentic Software Developer,volter.ai,
Middle FullStack Python + NextJS,Schneider,"Python, NumPy, pytest, Flask, MongoDB, SQL, PostgreSQL, FastAPI, unittest"
Backend Developer,Smart UI,"AWS, JavaScript, Git, MongoDB, Azure, MySQL, Docker, PostgreSQL, HTML, GraphQL, CSS"
Python Developer (Scraping),Dataforest,"Flask, Python, SQL, AWS"
Senior Backend engineer (Python),MEGOGO,"Django, MongoDB"
Junior-Middle Software Engineer,GlobalLogic,"JavaScript, Kubernetes, Docker, CSS, HTML"
Backend/Fulllstack developer developer,Qlevio,
Strong Junior Python Developer,Starnavi,"Python, SQL, Django, Angular"
Middle Python Backend Developer,Starnavi,"Python, Angular, Kubernetes, Flask, Django, SQL, Docker"
Odoo Developer (Middle/Senior),Evo Mall,"CSS, HTML"
Python ML/Data Engineer,Gemicle,"Python, SQL, pandas, TensorFlow"
Middle Python Developer (IRC225993),GlobalLogic,"Python, AWS, Docker, CSS, HTML, GitLab, SQLite"
Junior Python Database Developer,Nova Digital,"Python, SQL, PostgreSQL, NumPy"
Team Leader Python,Delphi Software,"Python, Azure"
Python Technical Lead in Intelligence Integration Team,ZONE3000 (Namecheap),"Python, Jenkins, AWS, Kubernetes, Git, Django, MongoDB, Azure, MySQL, Docker, PostgreSQL, FastAPI, Celery"
Full Stack Engineer (Django/React),PLANEKS,"DynamoDB, Python, AWS, React, REST, Git, Django, MongoDB, MySQL, PostgreSQL, GitHub, JIRA, RabbitMQ, Celery"
Middle Python (Django) Developer,OTAKOYI,"Python, AWS, REST, Git, Django, PostgreSQL, FastAPI, Celery"
Backend software engineer,FTD Solutions,"Docker, Jenkins, Python, Kubernetes"
Senior Python Developer,PYGIO,"Python, JavaScript, Git, Docker, GitHub"
Senior VLSI Backend Engineer,P-Product,
Middle Python Database Developer Cloud,Nova Digital,"Python, SQL, PostgreSQL, NumPy"
Middle Python Database Developer,Nova Digital,"Python, NumPy, Git, SQL, PostgreSQL"
Middle Python Engineer,Nova Digital,"Python, pandas"
Junior Python Developer (IRC218290),GlobalLogic,"Python, Flask, Docker, CSS, HTML, GitLab, SQLite"
Middle Python Developer,Dataforest,"Python, AWS, Flask, PostgreSQL, Celery"
Junior Python Developer,Clevervol,"Flask, Django, HTML"
Senior React/Python/Django Full Stack Developer,PadSplit,
Backend-developer (Python + PHP),Zviger Auto,SQL
Junior Python Developer,AI Pickles,"Python, Django, TensorFlow, FastAPI, PyTorch"
Python Developer,Jelvix,"Docker, Python, AWS, Django"
Junior Python Developer,Precoro,"Python, Git, MySQL"
Python Developer,Cosmonova Broadcast,"Python, SQL, Git, MySQL"
Python Developer,Ronis Commerce OÜ,"Docker, Python, Git"
Python Розробник (на проект),MEGASITE,Python
Python Developer,Join.To.IT,"Python, Redis, AWS, Django, Docker, FastAPI, Celery"
Senior Python Developer / Tech Lead,VSBD,"Python, Jenkins, AWS, React, REST, Git, Django, Azure, SQL, TensorFlow, Docker, RabbitMQ"
Middle Python AI Engineer,WebLab Technology,"Python, AWS, JavaScript, Flask, TensorFlow, GraphQL, FastAPI, PyTorch"
Senior Developer (Python Flask),Crossbow Soft,"Python, SQL, MySQL"
Python Developer,Digis,"Python, SQL, FastAPI"
Team Leader Python,Delphi Software,"Python, Azure"
Math + Python Developer,Numerical Technologies,Python
Senior Python Developer,Unikoom,"Python, AWS, Flask, Django, Docker, PostgreSQL, FastAPI"
Python Quant Developer,Peanut Trade,"Python, SQL, pandas, AWS"
Python Developer (LLM/RAG/AZURE experience is a must),Inmost,Python
Junior/Middle Python Developer IRC226561,GlobalLogic,"Flask, Python, FastAPI, MySQL"
Python Developer (Scraping),Dataforest,"Flask, Python, SQL, AWS"
Senior/Lead Python Software Engineer,CodeIT,"Python, AWS, Kubernetes, Django, SQL, Docker, PostgreSQL, RabbitMQ, Celery"
Middle Python Developer IRC227676,GlobalLogic,"Python, AWS, Docker, CSS, HTML, GitLab, SQLite"
Python Developer,Dataforest,"Flask, Python, SQL, AWS"
Senior Python Engineer,Meest Group,"OAuth, Python, RabbitMQ, DynamoDB, Redis, AWS, JWT, REST, Kubernetes, Django, MongoDB, SQL, Cassandra, MySQL, PostgreSQL, Elasticsearch, FastAPI, Celery"
Python (Django) Developer,PLANEKS,"Python, Redis, REST, CSS, HTML"
Python (Django) Developer,PLANEKS,"Python, Redis, REST, Flask, Django, MySQL, PostgreSQL, HTML, CSS, Celery"
Senior Python Developer (AI Domain),vidby AG,"Python, Redis, REST, Django, PostgreSQL, RabbitMQ, Celery"
Senior Software Engineer,SPS Commerce,"Python, Redis, AWS, MySQL, Elasticsearch, DynamoDB"
Python Engineer for Fintech SAAS,MoveUp Recruitment agency,"Python, AWS, REST, Kubernetes, SQL, Docker"
Python Developer,igm.technology,"Python, AWS, NumPy, REST, JavaScript, MongoDB, SQL, Azure, MySQL, PostgreSQL, pandas"
Middle/Senior BackEnd developer Python/Django,Meest China,"Jenkins, Redis, AWS, Git, SQL, MySQL, JWT, Celery"
Senior Software Engineer,Competera,
Senior Python Developer,Intellectsoft,"Python, AWS, Flask, Azure, SQL, Docker, FastAPI"
Senior Python Developer,Ajax Systems,"Jenkins, Python, AWS, Git, MySQL, Docker, PostgreSQL"
Senior/Strong Middle Python Backend Engineer with FastAPI,Fluvius,"Python, SQL, AWS"
Senior Python Developer,Intellectsoft,"Python, AWS, Flask, Azure, SQL, Docker, FastAPI"
Middle Python Developer,WeSoftYou,"Python, AWS, REST, pytest, Django, SQL, Docker, PostgreSQL, unittest, Celery"
Full Stack Python Developer,MaybeWorks🇺🇦,"Python, AWS, Angular, Git, Django, Docker, GitHub, GitLab"
"Backend developer (Python, Odoo)",Compassway,"Python, Django, Celery"
"Senior Software Engineer (AWS, Kafka)",Luxoft,"Python, AWS, Terraform, Kubernetes, SQL, JIRA"
Middle+/Senior Python Developer,ElephantsLab,"Python, Redis, REST, MongoDB, Docker, PostgreSQL, FastAPI, Celery"
Python UAV Developer,Quantum,Python
"Senior Python Engineer (AWS, Kafka)",Luxoft,"Python, AWS, Terraform, Kubernetes, SQL, JIRA"
Software Engineer (Python),PIN-UP Global,"Docker, Python, Django, MySQL"
Python Developer,Boosty Labs,"Python, Git, Django, Docker, FastAPI"
Senior Python Developer,Unicsoft,Python
Python developer,Elementica,"Python, AWS, Django, MongoDB, Docker, PostgreSQL, FastAPI"
Middle Strong Python Developer with AI experience,Geniusee,"Python, Azure, SQL"
Senior Python developer,Zazmic,"Python, AWS, NumPy, TensorFlow, Docker, pandas"
Senior Python Full-Stack Developer,Synergetica,"REST, Python"
Senior Test Automation Engineer (Python),Luxoft,"REST, Python"
